,Country Code,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Central government debt, total (% of GDP)","Population, total","Population, female (% of total population)","Inflation, consumer prices (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),Country Name,Country,Continent
0,AUS,1960,18606562977.050076,0.0,1810.5974427860906,0.0,0.0,10276477.0,49.4793979029318,3.72881355932203,0.0,0.0,5.0,Australia,Australia,Oceania
1,AUT,1960,6592693841.18495,0.0,935.4604268504154,0.0,0.0,7047539.0,53.4206441078354,1.94574935198645,0.0,0.0,0.0,Austria,Austria,Europe
2,BEL,1960,11658722590.990019,0.0,1273.6916591028862,0.0,0.0,9153489.0,50.9918403499766,0.299467254769695,0.0,0.0,0.0,Belgium,Belgium,Europe
3,BFA,1960,330442815.8211856,0.0,69.08319533213351,0.0,0.0,4783259.0,49.0906513738855,7.78816199376884,0.0,0.0,0.0,Burkina Faso,Burkina Faso,Africa
4,BOL,1960,373250000.0,0.0,100.67390152163915,0.0,0.0,3707515.0,50.673375562877,11.5331525756195,0.0,0.0,0.0,Bolivia,Bolivia,South America
5,CAN,1960,40461721692.64677,0.0,2259.2505108864198,0.0,0.0,17909356.0,49.4209339520639,1.35869565217392,0.0,0.0,5.75,Canada,Canada,North America
6,CHE,1960,9522746719.216143,0.0,1787.3603477020074,0.0,0.0,5327827.0,51.5537586005822,1.43879470321092,0.0,0.0,0.0,Switzerland,Switzerland,Europe
7,COL,1960,4031152976.6390357,0.0,256.96284733856487,0.0,0.0,15687688.0,50.2037648887459,5.81407628204986,0.0,0.0,0.0,Colombia,Colombia,South America
8,CRI,1960,507513829.99485475,0.0,376.96878560297375,0.0,0.0,1346302.0,49.3089217723809,0.790205817960074,0.0,0.0,0.0,Costa Rica,Costa Rica,North America
9,DOM,1960,672399700.0,0.0,203.8797509172925,0.0,0.0,3298021.0,49.780277323886,-3.56219179976055,0.0,0.0,0.0,Dominican Republic,Dominican Republic,North America
10,ECU,1960,2069464936.5976176,0.0,448.11479741438416,0.0,0.0,4618158.0,50.0945398576662,1.67659912611285,0.0,0.0,0.0,Ecuador,Ecuador,South America
12,ESP,1960,12072126075.39704,0.0,396.3922533376142,0.0,0.0,30455000.0,51.4388196500933,1.17777108409632,0.0,0.0,0.0,Spain,Spain,Europe
13,FIN,1960,5224102195.527708,0.0,1179.35301099994,0.0,0.0,4429634.0,51.8398942885526,3.41812725350792,0.0,0.0,0.0,Finland,Finland,Europe
